time,Open,High,Low,Close,Volume
2026-07-23 08:08:00+00:00,7508.5,7509.75,7508.0,7509.5,284
2026-07-23 08:09:00+00:00,7509.25,7511.75,7509.25,7511.75,366
2026-07-23 08:10:00+00:00,7511.5,7511.75,7510.0,7510.25,223
2026-07-23 08:11:00+00:00,7510.25,7511.0,7509.0,7510.75,217
2026-07-23 08:12:00+00:00,7510.5,7512.75,7510.25,7512.0,260
2026-07-23 08:13:00+00:00,7512.0,7512.75,7511.5,7511.5,194
2026-07-23 08:14:00+00:00,7511.25,7511.5,7510.75,7511.25,222
2026-07-23 08:15:00+00:00,7511.0,7511.75,7510.0,7510.0,243
2026-07-23 08:16:00+00:00,7510.0,7512.25,7508.75,7512.25,274
2026-07-23 08:17:00+00:00,7512.0,7515.25,7512.0,7514.5,624
2026-07-23 08:18:00+00:00,7514.5,7515.25,7513.5,7515.25,375
2026-07-23 08:19:00+00:00,7515.0,7515.25,7513.0,7513.75,223
2026-07-23 08:20:00+00:00,7514.0,7514.5,7513.25,7513.5,181
2026-07-23 08:21:00+00:00,7513.5,7513.75,7512.0,7512.0,177
2026-07-23 08:22:00+00:00,7512.0,7512.75,7511.0,7511.0,323
2026-07-23 08:23:00+00:00,7510.75,7511.25,7508.75,7509.0,263
2026-07-23 08:24:00+00:00,7509.0,7510.0,7508.75,7509.75,124
2026-07-23 08:25:00+00:00,7509.75,7510.75,7509.25,7510.5,391
2026-07-23 08:26:00+00:00,7510.5,7512.75,7509.75,7512.75,229
2026-07-23 08:27:00+00:00,7512.75,7513.5,7512.0,7513.0,237
2026-07-23 08:28:00+00:00,7513.0,7514.0,7511.75,7512.5,146
2026-07-23 08:29:00+00:00,7512.25,7513.75,7511.75,7513.5,178
2026-07-23 08:30:00+00:00,7513.25,7513.75,7512.75,7513.75,135
2026-07-23 08:31:00+00:00,7513.75,7514.5,7512.75,7513.5,310
2026-07-23 08:32:00+00:00,7513.5,7513.75,7510.75,7511.0,394
2026-07-23 08:33:00+00:00,7510.75,7513.0,7510.25,7512.75,125
2026-07-23 08:34:00+00:00,7512.75,7513.25,7512.25,7513.0,128
2026-07-23 08:35:00+00:00,7513.0,7513.5,7511.25,7511.5,126
2026-07-23 08:36:00+00:00,7511.75,7512.0,7511.25,7511.5,118
2026-07-23 08:37:00+00:00,7511.25,7512.0,7511.25,7511.75,72
2026-07-23 08:38:00+00:00,7511.75,7512.5,7511.5,7512.0,174
2026-07-23 08:39:00+00:00,7512.0,7512.0,7510.75,7510.75,145
2026-07-23 08:40:00+00:00,7511.25,7511.25,7508.75,7508.75,227
2026-07-23 08:41:00+00:00,7509.0,7509.75,7508.75,7509.0,140
2026-07-23 08:42:00+00:00,7509.0,7511.5,7508.25,7511.5,203
2026-07-23 08:43:00+00:00,7511.5,7512.0,7508.25,7508.5,236
2026-07-23 08:44:00+00:00,7508.25,7509.0,7507.75,7508.25,258
2026-07-23 08:45:00+00:00,7508.0,7508.5,7507.5,7508.5,243
2026-07-23 08:46:00+00:00,7508.5,7509.5,7508.25,7509.25,170
2026-07-23 08:47:00+00:00,7509.5,7510.0,7508.25,7509.5,213
2026-07-23 08:48:00+00:00,7509.5,7510.0,7509.25,7509.75,91
2026-07-23 08:49:00+00:00,7509.75,7511.0,7509.75,7510.5,147
2026-07-23 08:50:00+00:00,7510.5,7512.25,7509.5,7511.75,157
2026-07-23 08:51:00+00:00,7511.75,7512.25,7510.75,7512.25,142
2026-07-23 08:52:00+00:00,7512.5,7513.0,7511.25,7511.75,284
2026-07-23 08:53:00+00:00,7512.0,7514.5,7512.0,7514.0,197
2026-07-23 08:54:00+00:00,7514.0,7514.75,7514.0,7514.75,198
2026-07-23 08:55:00+00:00,7514.5,7515.25,7514.25,7515.25,148
2026-07-23 08:56:00+00:00,7515.0,7517.75,7515.0,7517.25,424
2026-07-23 08:57:00+00:00,7517.25,7518.0,7516.75,7516.75,165
2026-07-23 08:58:00+00:00,7516.75,7517.75,7516.75,7517.75,209
2026-07-23 08:59:00+00:00,7518.0,7519.5,7518.0,7518.75,462
2026-07-23 09:00:00+00:00,7518.75,7518.75,7516.75,7517.25,321
2026-07-23 09:01:00+00:00,7517.5,7519.0,7517.25,7518.5,306
2026-07-23 09:02:00+00:00,7518.5,7520.25,7518.25,7519.5,369
2026-07-23 09:03:00+00:00,7519.75,7526.0,7519.5,7522.5,1607
2026-07-23 09:04:00+00:00,7522.5,7523.75,7521.25,7523.25,475
2026-07-23 09:05:00+00:00,7523.25,7523.5,7521.0,7521.25,253
2026-07-23 09:06:00+00:00,7521.5,7522.75,7521.5,7522.0,254
2026-07-23 09:07:00+00:00,7522.0,7522.0,7519.75,7520.0,277
2026-07-23 09:08:00+00:00,7519.75,7519.75,7519.0,7519.25,221
2026-07-23 09:09:00+00:00,7519.25,7519.5,7518.0,7518.25,184
2026-07-23 09:10:00+00:00,7518.25,7519.25,7517.5,7519.25,259
2026-07-23 09:11:00+00:00,7519.5,7519.5,7517.5,7518.25,199
2026-07-23 09:12:00+00:00,7518.75,7518.75,7517.5,7517.75,161
2026-07-23 09:13:00+00:00,7517.5,7518.25,7516.75,7517.5,132
2026-07-23 09:14:00+00:00,7517.25,7517.5,7515.25,7515.25,281
2026-07-23 09:15:00+00:00,7515.25,7515.75,7514.75,7515.75,333
2026-07-23 09:16:00+00:00,7515.5,7516.25,7515.0,7516.25,212
2026-07-23 09:17:00+00:00,7516.5,7517.0,7516.0,7516.75,88
2026-07-23 09:18:00+00:00,7516.75,7517.0,7515.5,7515.75,75
2026-07-23 09:19:00+00:00,7515.75,7516.0,7514.5,7515.0,206
2026-07-23 09:20:00+00:00,7514.75,7515.5,7514.5,7514.5,131
2026-07-23 09:21:00+00:00,7514.75,7515.0,7513.25,7513.25,137
2026-07-23 09:22:00+00:00,7513.5,7514.25,7513.5,7514.0,82
